,coord_ra,coord_dec,ObjectId,visit,band,psfDiffFlux,psfDiffFluxErr,psfFlux,psfFluxErr,expMidptMJD,pixelFlags_bad,pixelFlags_saturated,pixelFlags_saturatedCenter,pixelFlags_suspect,pixelFlags_suspectCenter,nGoodSources
35,59.46141767003128,-48.61886936973327,592914531496244385,2024111900356,y,-14533.2,3851.76,2318870.0,3734.37,60634.320749948,False,False,False,False,False,155
36,59.46141767003128,-48.61886936973327,592914531496244385,2024112500229,r,192420.0,1513.26,2074410.0,1478.93,60640.19162415518,False,False,False,False,False,155
37,59.46141767003128,-48.61886936973327,592914531496244385,2024112500227,r,221322.0,1515.28,2092530.0,1476.17,60640.187460381974,False,False,False,False,False,155
38,59.46141767003128,-48.61886936973327,592914531496244385,2024111900340,r,202379.0,1503.17,2056340.0,1490.48,60634.309843252304,False,False,False,False,False,155
39,59.46141767003128,-48.61886936973327,592914531496244385,2024111900338,r,180662.0,1543.02,2058310.0,1527.9,60634.30866569436,False,False,False,False,False,155
40,59.46141767003128,-48.61886936973327,592914531496244385,2024111700343,r,206505.0,1477.92,2052080.0,1473.23,60632.23420483213,False,False,False,False,False,155
41,59.46141767003128,-48.61886936973327,592914531496244385,2024112500307,r,192628.0,1418.17,2066030.0,1390.33,60640.25197463542,False,False,False,False,False,155
42,59.46141767003128,-48.61886936973327,592914531496244385,2024121000456,g,8718.95,1196.46,1440720.0,1175.82,60655.26739571176,True,False,False,False,False,155
43,59.46141767003128,-48.61886936973327,592914531496244385,2024112500291,y,-11437.6,3545.29,2344010.0,3336.68,60640.24086277203,False,False,False,False,False,155
44,59.46141767003128,-48.61886936973327,592914531496244385,2024112500301,i,204813.0,1723.62,2273180.0,1612.43,60640.24761087386,False,False,False,False,False,155
45,59.46141767003128,-48.61886936973327,592914531496244385,2024112500299,i,209996.0,1708.77,2276520.0,1619.21,60640.24641576958,False,False,False,False,False,155
46,59.46141767003128,-48.61886936973327,592914531496244385,2024120800433,z,-24210.0,2150.5,2318620.0,2092.25,60653.23939341445,False,False,False,False,False,155
47,59.46141767003128,-48.61886936973327,592914531496244385,2024120800424,g,-14972.7,1190.8,1410630.0,1171.33,60653.235190995474,False,False,False,False,False,155
48,59.46141767003128,-48.61886936973327,592914531496244385,2024120800438,z,24785.1,2166.47,2339220.0,2114.36,60653.24136311339,False,False,False,False,False,155
49,59.46141767003128,-48.61886936973327,592914531496244385,2024120800440,z,103.647,2199.89,2339970.0,2141.41,60653.24213791669,False,False,False,False,False,155
50,59.46141767003128,-48.61886936973327,592914531496244385,2024120800436,z,-50181.8,2158.32,2371470.0,2117.88,60653.240582002225,False,False,False,False,False,155
51,59.46141767003128,-48.61886936973327,592914531496244385,2024120800437,z,16585.1,2142.31,2343780.0,2083.69,60653.24097100687,False,False,False,False,False,155
52,59.46141767003128,-48.61886936973327,592914531496244385,2024120200356,r,149941.0,1424.86,2041010.0,1403.74,60647.32153060759,False,False,False,False,False,155
53,59.46141767003128,-48.61886936973327,592914531496244385,2024120200357,r,127175.0,1408.3,2030700.0,1383.51,60647.322026672555,True,False,False,False,False,155
54,59.46141767003128,-48.61886936973327,592914531496244385,2024120200084,g,-19010.8,1162.27,1401320.0,1136.4,60647.125292534736,False,False,False,False,False,155
55,59.46141767003128,-48.61886936973327,592914531496244385,2024121000454,r,181614.0,1494.54,2046970.0,1484.44,60655.26627971641,False,False,False,False,False,155
56,59.46141767003128,-48.61886936973327,592914531496244385,2024120800420,r,202270.0,1448.94,2056240.0,1426.36,60653.2331529167,False,False,False,False,False,155
57,59.46141767003128,-48.61886936973327,592914531496244385,2024120800421,g,-3500.45,1193.94,1415760.0,1172.29,60653.23401020255,False,False,False,False,False,155
58,59.46141767003128,-48.61886936973327,592914531496244385,2024120800417,r,208554.0,1500.41,2063320.0,1469.25,60653.23198685178,False,False,False,False,False,155
59,59.46141767003128,-48.61886936973327,592914531496244385,2024120800442,z,890.498,2180.74,2327750.0,2123.42,60653.24292451958,False,False,False,False,False,155
60,59.46141767003128,-48.61886936973327,592914531496244385,2024120800418,r,195546.0,1465.62,2037790.0,1434.12,60653.23237214688,False,False,False,False,False,155
61,59.46141767003128,-48.61886936973327,592914531496244385,2024111700354,z,13664.1,2095.94,2325190.0,2049.94,60632.24524986687,False,False,False,False,False,155
62,59.46141767003128,-48.61886936973327,592914531496244385,2024111700347,i,194476.0,1735.36,2286310.0,1685.68,60632.23736594916,False,False,False,False,False,155
63,59.46141767003128,-48.61886936973327,592914531496244385,2024121000467,r,186740.0,3298.8,2054570.0,3317.86,60655.27210960071,False,False,False,False,False,155
64,59.46141767003128,-48.61886936973327,592914531496244385,2024111700348,i,176671.0,1682.69,2287770.0,1636.43,60632.23796203695,False,False,False,False,False,155
65,59.46141767003128,-48.61886936973327,592914531496244385,2024111700362,i,205671.0,1733.82,2290660.0,1647.23,60632.2510115566,False,False,False,False,False,155
66,59.46141767003128,-48.61886936973327,592914531496244385,2024111700365,r,194943.0,1388.35,2003320.0,1361.37,60632.25342745362,False,False,False,False,False,155
67,59.46141767003128,-48.61886936973327,592914531496244385,2024111700364,i,193740.0,1740.47,2292030.0,1675.52,60632.25224596649,False,False,False,False,False,155
68,59.46141767003128,-48.61886936973327,592914531496244385,2024121000470,r,180480.0,1637.16,2025040.0,1626.13,60655.273285029,False,False,False,False,False,155
69,59.46141767003128,-48.61886936973327,592914531496244385,2024121000478,g,-8889.98,1238.6,1404650.0,1216.81,60655.27691759268,False,False,False,False,False,155
70,59.46141767003128,-48.61886936973327,592914531496244385,2024121000477,g,8399.78,1220.33,1408170.0,1196.99,60655.27653196767,False,False,False,False,False,155
71,59.46141767003128,-48.61886936973327,592914531496244385,2024120800441,z,-11773.7,2110.09,2337680.0,2054.1,60653.242534589204,False,False,False,False,False,155
72,59.46141767003128,-48.61886936973327,592914531496244385,2024121000468,r,171728.0,3101.59,2100050.0,3119.36,60655.27250134263,False,False,False,False,False,155
73,59.46141767003128,-48.61886936973327,592914531496244385,2024111700341,r,204487.0,1433.57,2049430.0,1421.23,60632.23294782397,False,False,False,False,False,155
74,59.46141767003128,-48.61886936973327,592914531496244385,2024111700345,i,186564.0,1721.5,2284520.0,1673.97,60632.23618403932,False,False,False,False,False,155
75,59.46141767003128,-48.61886936973327,592914531496244385,2024111700340,r,207266.0,1435.91,2070220.0,1425.93,60632.23233745366,False,False,False,False,False,155
76,59.46141767003128,-48.61886936973327,592914531496244385,2024111900352,y,-46276.6,3990.15,2337700.0,3802.36,60634.31839361685,False,False,False,False,False,155
77,59.46141767003128,-48.61886936973327,592914531496244385,2024111900345,i,195252.0,1820.99,2285010.0,1766.06,60634.313423541724,False,False,False,False,False,155
78,59.46141767003128,-48.61886936973327,592914531496244385,2024112500228,r,201739.0,1468.35,2061060.0,1431.32,60640.18831898729,False,False,False,False,False,155
79,59.46141767003128,-48.61886936973327,592914531496244385,2024121000457,g,-24345.9,1187.04,1406920.0,1167.99,60655.267783460666,False,False,False,False,False,155
80,59.46141767003128,-48.61886936973327,592914531496244385,2024111900357,y,1344.05,3947.53,2328760.0,3817.12,60634.321332181826,False,False,False,False,False,155
81,59.46141767003128,-48.61886936973327,592914531496244385,2024111900355,y,-4641.22,3994.42,2319210.0,3765.62,60634.320157476905,False,False,False,False,False,155
82,59.46141767003128,-48.61886936973327,592914531496244385,2024111700370,r,212462.0,1448.99,2049500.0,1428.42,60632.25665154515,False,False,False,False,False,155
83,59.46141767003128,-48.61886936973327,592914531496244385,2024111700366,r,162895.0,1427.7,2046800.0,1415.86,60632.25402895824,False,False,False,False,False,155
84,59.46141767003128,-48.61886936973327,592914531496244385,2024121000461,g,-21765.1,1205.79,1414330.0,1181.25,60655.26940018511,False,False,False,False,False,155
85,59.46141767003128,-48.61886936973327,592914531496244385,2024111700367,r,209172.0,1443.52,2048010.0,1427.02,60632.25463130792,False,False,False,False,False,155
86,59.46141767003128,-48.61886936973327,592914531496244385,2024111900341,r,198199.0,1452.74,2044020.0,1441.49,60634.3104290451,False,False,False,False,False,155
87,59.46141767003128,-48.61886936973327,592914531496244385,2024111800086,z,-9357.03,2019.56,2362090.0,1964.27,60633.091769288076,False,False,False,False,False,155
88,59.46141767003128,-48.61886936973327,592914531496244385,2024111800076,r,157213.0,1438.91,2029350.0,1404.57,60633.07763523725,False,False,False,False,False,155
89,59.46141767003128,-48.61886936973327,592914531496244385,2024111800080,z,-28653.3,2022.26,2341580.0,1973.15,60633.08815177666,False,False,False,False,False,155
90,59.46141767003128,-48.61886936973327,592914531496244385,2024111800094,r,208461.0,1412.39,2009660.0,1390.66,60633.097900167835,False,False,False,False,False,155
91,59.46141767003128,-48.61886936973327,592914531496244385,2024111800095,r,197011.0,1449.41,2064550.0,1422.76,60633.09849227429,False,False,False,False,False,155
92,59.46141767003128,-48.61886936973327,592914531496244385,2024120800419,r,187592.0,1490.44,2050510.0,1461.79,60653.232760752275,False,False,False,False,False,155
93,59.46141767003128,-48.61886936973327,592914531496244385,2024111800091,i,197766.0,1710.33,2286180.0,1632.94,60633.09551712967,False,False,False,False,False,155
94,59.46141767003128,-48.61886936973327,592914531496244385,2024112600151,g,-5842.34,1397.41,1439250.0,1367.81,60641.099290272075,False,False,False,False,False,155
95,59.46141767003128,-48.61886936973327,592914531496244385,2024112600144,r,-1488100.0,627.562,168598.0,294.255,60641.09443222803,False,True,True,True,True,155
96,59.46141767003128,-48.61886936973327,592914531496244385,2024111800108,z,14410.0,2052.21,2329880.0,1983.05,60633.11138189238,False,False,False,False,False,155
97,59.46141767003128,-48.61886936973327,592914531496244385,2024112600150,g,-30571.7,1275.19,1418180.0,1271.43,60641.098724832074,False,False,False,False,False,155
98,59.46141767003128,-48.61886936973327,592914531496244385,2024112600146,r,-1644660.0,463.596,-6.00099,106.479,60641.09563521993,True,True,True,True,True,155
99,59.46141767003128,-48.61886936973327,592914531496244385,2024121000459,g,-1408.2,1203.17,1403390.0,1183.9,60655.26856155091,False,False,False,False,False,155
100,59.46141767003128,-48.61886936973327,592914531496244385,2024120200080,u,6705.91,1384.88,471954.0,1367.96,60647.12242351263,False,False,False,False,False,155
101,59.46141767003128,-48.61886936973327,592914531496244385,2024112600181,r,-1539690.0,442.837,-45.3939,100.682,60641.11988668975,True,True,True,True,True,155
102,59.46141767003128,-48.61886936973327,592914531496244385,2024112600145,r,-1412170.0,695.768,244868.0,402.957,60641.09504378479,False,True,True,True,True,155
103,59.46141767003128,-48.61886936973327,592914531496244385,2024112500284,i,232737.0,1803.64,2306060.0,1716.14,60640.23584289354,False,False,False,False,False,155
104,59.46141767003128,-48.61886936973327,592914531496244385,2024112500300,i,210155.0,1832.7,2290580.0,1717.41,60640.24700911454,False,False,False,False,False,155
105,59.46141767003128,-48.61886936973327,592914531496244385,2024112500248,r,208689.0,1532.57,2054240.0,1472.39,60640.210089143584,False,False,False,False,False,155
106,59.46141767003128,-48.61886936973327,592914531496244385,2024112600160,i,298821.0,2000.24,2351970.0,1866.79,60641.10546815391,False,False,False,False,False,155
107,59.46141767003128,-48.61886936973327,592914531496244385,2024112600152,g,-3706.21,1252.36,1403890.0,1236.28,60641.09990380214,False,False,False,False,False,155
108,59.46141767003128,-48.61886936973327,592914531496244385,2024111900353,y,-2321500.0,2230.2,-1662.32,2068.37,60634.31898380213,True,False,False,False,False,155
